Prof.;Item;AHPrice;Comp.Price;profit;profit pct
164;Heavy Copper Maul;None;2090000;#¡VALOR!;
165;Wolfshead Helm;29999900;10769600;1923,03;
164;Heavy Mithril Axe;None;3222001;#¡VALOR!;
164;Heavy Mithril Boots;None;3573000;#¡VALOR!;
164;Heavy Mithril Breastplate;None;3672000;#¡VALOR!;
164;Heavy Mithril Gauntlet;None;1495000;#¡VALOR!;
164;Heavy Mithril Helm;None;3215229;#¡VALOR!;
164;Heavy Mithril Pants;None;2315000;#¡VALOR!;
164;Heavy Mithril Shoulder;None;2433000;#¡VALOR!;
164;Heavy Obsidian Belt;None;9134600;#¡VALOR!;
202;Goblin Rocket Helmet;24989999;8395584;1659,4415;
164;Heavy Timbermaw Belt;None;4689396;#¡VALOR!;
164;Heavy Timbermaw Boots;None;21387992;#¡VALOR!;
164;Heavy Weightstone;None;29773;#¡VALOR!;
164;Helm of the Great Chief;None;13596632;#¡VALOR!;
164;Huge Thorium Battleaxe;None;4302794;#¡VALOR!;
164;Icebane Bracers;None;14598396;#¡VALOR!;
164;Icebane Breastplate;None;20768193;#¡VALOR!;
164;Icebane Gauntlets;None;15023395;#¡VALOR!;
164;Imperial Plate Belt;None;2501123;#¡VALOR!;
164;Imperial Plate Boots;None;3475527;#¡VALOR!;
164;Imperial Plate Bracers;None;2073998;#¡VALOR!;
164;Imperial Plate Chest;None;4147996;#¡VALOR!;
164;Imperial Plate Helm;None;3548296;#¡VALOR!;
164;Imperial Plate Leggings;None;4547796;#¡VALOR!;
164;Imperial Plate Shoulders;None;2702128;#¡VALOR!;
202;Gnomish Rocket Boots;39989999;23750221;1623,9778;
164;Inlaid Thorium Hammer;None;8661976;#¡VALOR!;
197;Admiral's Hat;16990000;1779800;1521,02;
164;Iridescent Hammer;None;2004762;#¡VALOR!;
202;Parachute Cloak;16000000;934440;1506,556;
197;Big Bag of Enchantment;20000000;5259686;1474,0314;
164;Iron Shield Spike;None;559988;#¡VALOR!;
164;Ironforge Breastplate;None;4198998;#¡VALOR!;
164;Ironforge Chain;None;2183496;#¡VALOR!;
164;Ironforge Gauntlets;None;1159000;#¡VALOR!;
164;Ironvine Belt;None;7020664;#¡VALOR!;
164;Ironvine Breastplate;None;20398662;#¡VALOR!;
164;Ironvine Gloves;None;9158663;#¡VALOR!;
164;Jade Serpentblade;None;1148150;#¡VALOR!;
197;Cloak of Fire;14999999;727574;1427,2425;
164;Light Obsidian Belt;None;8138600;#¡VALOR!;
202;Goblin Jumper Cables;19990000;6888890;1310,111;
164;Massive Iron Axe;None;2065640;#¡VALOR!;
164;Masterwork Stormhammer;None;26672400;#¡VALOR!;
164;Mighty Iron Hammer;None;848166;#¡VALOR!;
164;Mithril Coif;None;2472000;#¡VALOR!;
164;Mithril Scale Bracers;None;1839334;#¡VALOR!;
164;Mithril Scale Gloves;None;2551000;#¡VALOR!;
165;Swift Boots;15990000;4156894;1183,3106;
164;Mithril Scale Shoulders;None;3579668;#¡VALOR!;
164;Arcanite Rod;22222221;10806800;1141,5421;
197;Gordok Ogre Suit;12000000;785508;1121,4492;
164;Moonsteel Broadsword;None;3255088;#¡VALOR!;
202;Voice Amplification Modulator;20000000;9206133;1079,3867;
164;Obsidian Mail Tunic;None;214705646;#¡VALOR!;
164;Orcish War Leggings;None;3105499;#¡VALOR!;
197;Satchel of Cenarius;19999996;9988574;1001,1422;
164;Titanic Leggings;85009495;75200000;980,9495;
164;Ornate Mithril Gloves;None;2579407;#¡VALOR!;
197;Rich Purple Silk Shirt;9999999;193136;980,6863;
164;Ornate Mithril Pants;None;2863636;#¡VALOR!;
164;Ornate Mithril Shoulders;None;3334740;#¡VALOR!;
164;Ornate Thorium Handaxe;None;2290362;#¡VALOR!;
164;Patterned Bronze Bracers;None;675000;#¡VALOR!;
164;Pearl-handled Dagger;None;1021334;#¡VALOR!;
164;Persuader;None;130186980;#¡VALOR!;
164;Phantom Blade;None;10449350;#¡VALOR!;
164;Polished Steel Boots;None;2911587;#¡VALOR!;
164;Radiant Belt;None;1015496;#¡VALOR!;
164;Radiant Boots;None;1431292;#¡VALOR!;
164;Radiant Breastplate;None;1890094;#¡VALOR!;
164;Radiant Circlet;None;1831092;#¡VALOR!;
164;Radiant Gloves;None;1831092;#¡VALOR!;
164;Radiant Leggings;None;2030992;#¡VALOR!;
164;Rough Bronze Boots;None;876000;#¡VALOR!;
164;Rough Bronze Bracers;None;532000;#¡VALOR!;
164;Rough Bronze Cuirass;None;931000;#¡VALOR!;
197;Green Holiday Shirt;9999999;366170;963,3829;
164;Rough Bronze Shoulders;None;695000;#¡VALOR!;
164;Rough Copper Vest;None;640000;#¡VALOR!;
202;Gnomish Net-o-Matic Projector;14979998;5681883;929,8115;
202;Gnomish Mind Control Cap;12000000;2757206;924,2794;
164;Rough Weightstone;None;17999;#¡VALOR!;
164;Rune Edge;None;3289862;#¡VALOR!;
164;Runed Copper Belt;None;1600000;#¡VALOR!;
164;Runed Copper Bracers;None;1639000;#¡VALOR!;
164;Runed Copper Breastplate;None;1971000;#¡VALOR!;
164;Runed Copper Gauntlets;None;1306000;#¡VALOR!;
164;Runed Copper Pants;None;1418800;#¡VALOR!;
164;Runed Mithril Hammer;None;4577665;#¡VALOR!;
164;Runic Breastplate;None;11276998;#¡VALOR!;
164;Runic Plate Boots;None;13593000;#¡VALOR!;
164;Runic Plate Helm;None;10350647;#¡VALOR!;
164;Runic Plate Leggings;None;11276998;#¡VALOR!;
164;Runic Plate Shoulders;None;9923000;#¡VALOR!;
164;Sageblade;None;56634000;#¡VALOR!;
164;Searing Golden Blade;None;4193186;#¡VALOR!;
164;Serenity;None;18058589;#¡VALOR!;
164;Shadow Crescent Axe;None;6448402;#¡VALOR!;
164;Shining Silver Breastplate;None;5995994;#¡VALOR!;
171;Swim Speed Potion;9990000;1026070;896,393;
164;Silver Skeleton Key;None;226000;#¡VALOR!;
164;Silvered Bronze Boots;None;1247000;#¡VALOR!;
164;Silvered Bronze Breastplate;None;2228000;#¡VALOR!;
164;Silvered Bronze Gauntlets;None;1513000;#¡VALOR!;
164;Silvered Bronze Leggings;None;3362000;#¡VALOR!;
164;Silvered Bronze Shoulders;None;1952000;#¡VALOR!;
164;Ornate Mithril Helm;12020000;4087896;793,2104;
164;Solid Iron Maul;None;2751652;#¡VALOR!;
164;Solid Sharpening Stone;None;3894;#¡VALOR!;
164;Solid Weightstone;None;6494;#¡VALOR!;
164;Steel Breastplate;None;5749840;#¡VALOR!;
164;Steel Plate Helm;None;4966527;#¡VALOR!;
165;Nightscape Boots;9199998;1539800;766,0198;
164;Storm Gauntlets;None;24589000;#¡VALOR!;
197;Glacial Cloak;14999900;7905711;709,4189;
164;Steel Weapon Chain;9870000;3297920;657,208;
164;The Shatterer;None;6434934;#¡VALOR!;
197;Black Mageweave Boots;6879999;459800;642,0199;
164;Thick War Axe;None;2674000;#¡VALOR!;
164;Thorium Armor;None;5970200;#¡VALOR!;
164;Thorium Belt;None;3399400;#¡VALOR!;
164;Thorium Boots;None;3350988;#¡VALOR!;
164;Thorium Bracers;None;1599396;#¡VALOR!;
164;Thorium Greatsword;None;1800796;#¡VALOR!;
164;Thorium Helm;None;4393798;#¡VALOR!;
164;Thorium Leggings;None;4798700;#¡VALOR!;
165;Cured Rugged Hide;5889993;202000;568,7993;
202;Catseye Ultra Goggles;5749999;604458;514,5541;
164;Truesilver Breastplate;None;5236082;#¡VALOR!;
164;Truesilver Champion;None;9218556;#¡VALOR!;
164;Truesilver Gauntlets;None;2772815;#¡VALOR!;
202;SnowMaster 9000;21000000;16634004;436,5996;
164;Truesilver Skeleton Key;None;53703;#¡VALOR!;
164;Volcanic Hammer;None;3530480;#¡VALOR!;
164;Whitesoul Helm;None;7859438;#¡VALOR!;
164;Wicked Mithril Blade;None;3622627;#¡VALOR!;
164;Wildthorn Mail;None;11815995;#¡VALOR!;
165;Barbaric Belt;None;1711995;#¡VALOR!;
165;Barbaric Bracers;None;2514996;#¡VALOR!;
165;Barbaric Gloves;None;1046898;#¡VALOR!;
165;Barbaric Harness;None;1587895;#¡VALOR!;
165;Barbaric Leggings;None;1474799;#¡VALOR!;
165;Barbaric Shoulders;None;1120800;#¡VALOR!;
165;Big Voodoo Cloak;None;1559796;#¡VALOR!;
165;Big Voodoo Mask;None;790888;#¡VALOR!;
165;Big Voodoo Pants;None;1299794;#¡VALOR!;
165;Big Voodoo Robe;None;963892;#¡VALOR!;
165;Black Dragonscale Boots;None;80860100;#¡VALOR!;
165;Black Dragonscale Breastplate;None;157989753;#¡VALOR!;
165;Black Dragonscale Leggings;None;161789753;#¡VALOR!;
202;Deepdive Helmet;9999991;5694860;430,5131;
165;Black Whelp Cloak;None;553960;#¡VALOR!;
165;Black Whelp Tunic;None;1306320;#¡VALOR!;
165;Blood Tiger Breastplate;None;19874677;#¡VALOR!;
165;Blood Tiger Shoulders;None;19424677;#¡VALOR!;
165;Blue Dragonscale Breastplate;None;37336865;#¡VALOR!;
165;Blue Dragonscale Leggings;None;49276158;#¡VALOR!;
202;Powerful Seaforium Charge;5000000;754998;424,5002;
165;Bramblewood Belt;None;11016657;#¡VALOR!;
165;Bramblewood Boots;None;19306650;#¡VALOR!;
165;Bramblewood Helm;None;24986648;#¡VALOR!;
165;Chimeric Boots;None;265896;#¡VALOR!;
165;Chimeric Gloves;None;361894;#¡VALOR!;
165;Chimeric Leggings;None;465892;#¡VALOR!;
165;Chimeric Vest;None;569890;#¡VALOR!;
165;Chromatic Cloak;None;120845843;#¡VALOR!;
165;Chromatic Gauntlets;None;45416568;#¡VALOR!;
165;Comfortable Leather Hat;None;1743800;#¡VALOR!;
197;Orange Martial Shirt;3990000;269700;372,03;
165;Corehound Belt;None;82119972;#¡VALOR!;
165;Corehound Boots;None;80165000;#¡VALOR!;
164;Inlaid Mithril Cylinder;5000000;1308240;369,176;
202;Dimensional Ripper - Everlook;6990000;3488978;350,1022;
202;Gyrochronatom;3500000;121248;337,8752;
197;Spider Belt;4989999;1968429;302,157;
197;Mooncloth;3950000;1009994;294,0006;
